S.N.,Stock Symbol,Closing Price Average,Total Traded Amount,Total Traded Shares,Weighted Average,Closing Price,Closing Date
1,ADBL,355.75,"2,829,117,926","7,396,411",382.5,425,9/5/2019
2,AHPC,132.91,"399,532,824","2,935,676",136.1,99,9/5/2019
3,AKBSL,330.88,"124,390",370,336.19,404,9/5/2019
4,AKJCL,78.31,"11,435,019","142,231",80.4,60,9/5/2019
5,AKPL,227.4,"212,016,718","917,852",230.99,148,9/5/2019
6,ALBSL,441.66,"139,674,909","299,416",466.49,448,9/5/2019
7,ALICL,596.62,"956,956,873","1,609,892",594.42,329,9/5/2019
8,ALICLP,451.56,"277,185,893","623,618",444.48,262,9/5/2019
9,AMFI,689.98,"111,500,521","144,195",773.26,529,9/5/2019
10,API,221.95,"706,041,745","4,095,776",172.38,116,9/5/2019
11,BARUN,127.63,"48,359,006","379,662",127.37,85,9/5/2019
12,BBC,"1,712.42","86,935,158","50,040","1,737.31","1,442.00",9/5/2019
13,BFC,105.53,"58,501,736","551,581",106.06,93,9/5/2019
14,BFCPO,103,"15,514,993","150,631",103,103,9/5/2019
15,BHBL,145.98,"80,408,366","515,536",155.97,199,9/5/2019
16,BNL,"1,726.50","204,160",120,"1,701.33","1,760.00",9/5/2019
17,BNT,"6,393.53","214,567,884","33,577","6,390.32","6,426.00",9/5/2019
18,BOKL,298.43,"1,959,854,333","6,605,621",296.69,261,9/5/2019
19,BOKLPO,185.29,"143,124,419","684,489",209.1,150,9/5/2019
20,BPCL,438.76,"1,556,740,497","3,423,206",454.76,380,9/5/2019
21,CBBL,924.68,"2,154,233,340","2,330,380",924.41,980,9/5/2019
22,CBBLPO,495.19,"236,474,271","880,136",268.68,470,9/5/2019
23,CBL,158.45,"2,582,270,040","16,250,789",158.9,147,9/5/2019
24,CBLPO,113.2,"314,078,694","3,013,667",104.22,100,9/5/2019
25,CCBL,175.02,"1,731,451,703","9,783,410",176.98,160,9/5/2019
26,CCBLPO,161.22,"172,472,590","1,056,125",163.31,132,9/5/2019
27,CEFL,121.5,"26,340,431","236,590",111.33,99,9/5/2019
28,CEFLPO,100.5,"44,918,300","447,835",100.3,100,9/5/2019
29,CFCL,117.66,"105,169,214","891,037",118.03,115,9/5/2019
30,CFCLPO,104.33,"3,030,018","27,585",109.84,113,9/5/2019
31,CHCL,657.24,"2,011,056,946","3,036,343",662.33,446,9/5/2019
32,CHL,120.12,"9,046,716","74,858",120.85,80,9/5/2019
33,CHLBS,482.98,"93,357,426","172,879",540.02,464,9/5/2019
34,CIT,"2,560.96","2,244,899,752","870,251","2,579.60","1,916.00",9/5/2019
35,CLBSL,666.12,"75,575,823","112,547",671.5,521,9/5/2019
36,CMB,140,"7,228,496","328,568",22,140,9/5/2019
37,CMF1,9.38,"11,479,142","1,200,070",9.57,9.89,9/5/2019
38,CORBL,110.04,"26,734,764","225,853",118.37,116,9/5/2019
39,CZBIL,236.94,"1,720,078,766","7,280,229",236.27,219,9/5/2019
40,CZBILP,150.56,"72,921,549","484,804",150.41,159,9/5/2019
41,DBBL,138.56,"805,493,726","5,745,575",140.19,131,9/5/2019
42,DBBLPO,105,"28,088,985","305,085",92.07,105,9/5/2019
43,DDBL,706.38,"840,990,420","1,174,191",716.23,730,9/5/2019
44,DHPL,100.02,"8,484,990","107,358",79.03,61,9/5/2019
45,EBL,660.51,"2,859,444,712","4,239,204",674.52,622,9/5/2019
46,EBLCP,651.44,"18,512,710","28,393",652.02,725,9/5/2019
47,EBLPO,"1,045.00","1,917,639,375","7,236,375",265,"1,045.00",9/5/2019
48,EDBL,309.98,"165,130,687","527,657",312.95,273,9/5/2019
49,EDBLPO,157,"14,227,400","90,980",156.38,155,9/5/2019
50,EIC,"1,005.42","606,802,753","603,355","1,005.71",300,9/5/2019
51,FMDBL,453.1,"1,052,710,545","2,134,963",493.08,384,9/5/2019
52,FMDBLP,354.25,"44,499,642","129,478",343.68,240,9/5/2019
53,FOWAD,"1,923.55","974,122,633","474,867","2,051.36","1,315.00",9/5/2019
54,GBBL,195.05,"739,785,394","3,658,795",202.19,214,9/5/2019
55,GBBLPO,115,"89,945,295","782,133",115,115,9/5/2019
56,GBIME,299.31,"2,665,632,859","8,716,861",305.8,295,9/5/2019
57,GBIMEP,175.54,"658,142,526","3,731,279",176.39,173,9/5/2019
58,GBLBS,492.61,"1,158,282,470","2,231,068",519.16,338,9/5/2019
59,GDBL,207.22,"601,511,894","2,865,994",209.88,208,9/5/2019
60,GDBLPO,122,"35,672,078","294,578",121.1,122,9/5/2019
61,GFCL,128.12,"53,423,185","412,710",129.44,136,9/5/2019
62,GFCLPO,110,"8,550,630","77,733",110,110,9/5/2019
63,GGBSL,231,"2,310",10,231,231,9/5/2019
64,GHL,105.33,"3,158,525","35,650",88.6,70,9/5/2019
65,GILB,"1,149.32","178,576,298","157,671","1,132.59",748,9/5/2019
66,GIMES1,8.64,"12,983,023","1,483,017",8.75,7.47,9/5/2019
67,GLBSL,439.94,"50,214,615","106,193",472.86,478,9/5/2019
68,GLICL,716.25,"915,607,824","1,214,047",754.18,390,9/5/2019
69,GLICLP,520,"12,870,000","24,750",520,520,9/5/2019
70,GMFBS,479.95,"87,837,106","171,483",512.22,512,9/5/2019
71,GMFIL,135.71,"34,741,597","263,991",131.6,118,9/5/2019
72,GMFILP,125,"1,416,875","11,335",125,125,9/5/2019
73,GRDBL,127.94,"49,250,900","426,065",115.59,107,9/5/2019
74,GUFL,114.71,"165,333,588","1,440,338",114.79,116,9/5/2019
75,GUFLPO,100,"79,707,600","797,076",100,100,9/5/2019
76,HAMRO,150.38,"34,585,997","220,936",156.54,133,9/5/2019
77,HAMROP,108.5,"11,527,986","106,054",108.7,108,9/5/2019
78,HATH,133.42,"25,792,708","192,110",134.26,114,9/5/2019
79,HATHPO,100,"29,836,300","298,363",100,100,9/5/2019
80,HBL,549.35,"728,650,801","1,301,013",560.06,535,9/5/2019
81,HDL,"1,390.85","944,405,435","574,017","1,645.26","1,500.00",9/5/2019
82,HGI,412.43,"757,422,004","1,746,556",433.67,299,9/5/2019
83,HGIPO,225,"562,500","2,500",225,225,9/5/2019
